,Perguntas,Respostas
12,"Se por acaso precisar utilizar o plano antes de terminar alguma carência, existe a possibilidade?
","Compreendo o seu medo, mas precisamos respeitar as carências do plano. Gosto de trazer um pensamento: Um pet com 2 anos, por exemplo, 45 dias de carência para consultas vai passar muitoo rapido. Então, quando você menos esperar já vai ter passo meses. Pode ficar tranquilaa quanto a isso!"
13,Tem coparticipação ?,Atualmente não temos. O plano cobre 100% da proteção oferecida. 
14,"Estou avaliando / cotando em outros locais
","Perfeito, acho super interessante você ter essa preocupação de olhar tudo que existe, mas aproveito para deixar alguns pontos de atenção. Como trabalho todo dia com isso, conheço algumas ""armadilhas"".
Alguns planos oferecem coparticipação de maneira errada, como por exemplo, coparticipação de 12 reais para um exame de sangue, esse valor de 12 é o mesmo que você ir no particular em uma laboratorio. Então, você acaba sendo lesada, pois paga o plano + o valor do exame, em resumo o plano só está ganhando nesses casos. E outro detalhe sobre a coparticipação é que acaba enganando o quanto você paga de fato na mensliadde, porque parece barata a menslidade, mas só aquele valor se você não utilizar do plano, a partir do momento que usar a mensalidade fica mais cara... Ahh, outra recomendação que sempre gosto de trazer é olhar a rede credenciada de cada um, pois vários possuem uma ampla rede mas suporte 24 horas, acaba sendo 1 ou 2 clinicas. E também vale olhar o reclame aqui de cada empresa.  Desculpe, sei que é bastante texto, mas é importante dar essas dicas para auxiliar na sua pesquisa entre os planos. "
15,PetVeter está melhor,"Olha, o plano deles tem alguns pontos de atenção, como exemplo: Lá no plano de 109,90 diz que cobre internamento, mas o internamento é só o básico para pós cirurgico. Caso seu pet esteja com diarreia, que é um sintoma basico, o plano já não cobre o internameneto pois é só internamento basico, o internamento semi-intensivo eles não cobrem.. Esse é um dos pontos de atenção, pois quase sempre que precisar internar você quem vai pagar o internamento e não o plano.
Outro ponto é a rede credenciada, se você notar não possui uma rede muito conhecedi quando se refere em atendimentos 24 horas. Além disso, os planos inicias, o de 49,90 e o de 79,90 não cobrem internamento, ultrassom, cirurgias, e poucos bioquimicos do sangue. Então quando comparado com o nosso plano de 79,80, o nosso cobre tudo isso como você pode comparar. Então gosto de trazer alguns pontos de atenção importantes."
16,Petlove está melhor,"Sobre isso vou precisar trazer alguns pontos de atenção para você. Na petlove você paga coparticipação de maneira errada, vou explicar alguns exemplos: O exame de bioquimicos quem paga acaba sendo você, porque cada bioquimico eles cobram 12 reais de coparticipação, mas na verdade se você for no laboratorio realizar você vai pagar esses mesmo 12, então não precisaria do plano para fazer esses exames. Internamento, cirurgias você só vai ter no plano mais caro deles, mas também tem que ficar atento ao valor da coparticipação para cada item. Ex: ultrassom você paga 60, 80 reais de coparticipação. Já o segundo ponto de alerta é a rede credenciada, que se você notar parece ampla mas na verdade são muitos medicos veterinarios autonomos, quando você precisar de clinica veterinaria irá perceber que existem poucos que atendem pelo plano. E o terceiro e mais importante é olhar o Reclame Aqui deles, lá você irá perceber a quantidade de gente insatisfeita."
17,"Algum plano que cubra cesária?
","""Entendo que a castração seja um desejo seu, porque realmente não está barato! Mas não conseguimos pensar em uma boa maneira de colocar no plano pelo seguinte motivo: A castração é feita uma vez na vida, então um plano que cobre esse procedimento a mensalidade acaba sendo bem mais cara. Achamos um pouco injusto você pagar por vários e vários anos uma mensalidade mais cara por algo que é realizado somente uma vez na vida. Diferente das vacinas, por exemplo, que você precisar fazer todo ano, então faz sentido você pagar mês a mês pra ter.
Além disso, caso algum plano em alguma modalidade ofereça, é preciso considerar a coparticipação e carência. Por isso, uma sugestão seria até mesmo fazer um ´caixinha´ e juntar o valor mês a mês para realizar a castração. Não fica pesado e depois você nunca mais precisa se preocupar."""
18,"Vc trabalham com reembolso?
","Na contratação de um plano com adicional, temos a cobertura em trânsito que permite o reembolso. Ela funciona assim: Quando você viajar com o seu pet, caso aconteça algum problema, nós reembolsamos até 85% do valor do item coberto pelo plano. Então essa cobertura tranquliza você em momentos de viagem para ver a familia, viagem a praia entre outras. "
19,"O plano não cobre a anestesia?
","Infelizmente precisamos abrir mão de algumas coisas, e uma delas foi a anestesia. Mas trago um ponto positivo aqui, a anestesia geralmente é um valor mais em conta do que o procedimento cirurgico, então mesmo que o plano não consiga cobrir tudo, ainda assim conseguimos cobrir a maior parte dos custos. Exemplo: Em um procedimento de retirada de tumor, o plano irá cobrir a consulta, exames, cirrugia e o internamento. Ou seja, iremos cobrir a maior parte dos custos"
20,"Estou fazendo um comparativo com vários planos
","Perfeito, acho super interessante você ter essa preocupação de olhar tudo que existe, mas aproveito para deixar alguns pontos de atenção. Como trabalho todo dia com isso, conheço algumas ""armadilhas"".
Alguns planos oferecem coparticipação de maneira errada, como por exemplo, coparticipação de 12 reais para um exame de sangue, esse valor de 12 é o mesmo que você ir no particular em uma laboratorio. Então, você acaba sendo lesada, pois paga o plano + o valor do exame, em resumo o plano só está ganhando nesses casos. E outro detalhe sobre a coparticipação é que acaba enganando o quanto você paga de fato na mensliadde, porque parece barata a menslidade, mas só aquele valor se você não utilizar do plano, a partir do momento que usar a mensalidade fica mais cara... Ahh, outra recomendação que sempre gosto de trazer é olhar a rede credenciada de cada um, pois vários possuem uma ampla rede mas suporte 24 horas, acaba sendo 1 ou 2 clinicas. E também vale olhar o reclame aqui de cada empresa.  Desculpe, sei que é bastante texto, mas é importante dar essas dicas para auxiliar na sua pesquisa entre os planos. "
21,"Comparando planos Petbee, Petveter e Petlove","Essa simulação é supondo que algum dos seus pets fique doente e precise de alguns exames e também de 1 diária internamento nos 6 primeiros meses:


Petbee (Plano padrão $59,80)
Coparticipação:
- Consulta R$0
- Internamento R$0
- Exames de sangue R$0
- Ultrassom R$0
Total em 6 meses: R$478,80

Petlove (Plano Ideal R$89,90)
Coparticipação:
- Consulta: R$30
- Exames de sangue: R$12 POR EXAME simples e R$30 por exame complexo (valor aproximado gasto em bateria de exames simples (R$100)
- Ultrassom: R$60
- Internamento: R$150
Total em 6 meses: R$879,40

Petveter (Plano Plus R$79,90)
Coparticipação:
- Consulta: R$0
- Exames de sangue: R$0
- Ultrassom: Não possui cobertura, média de valor no particular R$200.
- Internamento: Não possui cobertura, média de valor no particular R$350-450
Total em 6 meses: R$1.029,40



"
22,O que ainda está pegando é a carência,"Entendo a preocupação com a carências, mas garanto que irá passar super rapido."
23,"O que ainda está pegando é a especialidade
","Compreendo, especialistas são importantes sim. Aqui no plano em breve vamos trazer um adicional para esse tipo de cobertura."
24,"Eu fiquei na dúvida de medicação... vi que não é coberto a medicação, mesmo em caso de internação??
","Ótima pergunta! Medicação é um item que não cobrimos, mas se for no internamento tem cobertura da medicação básica, só terá algum custo nisso se precisar alguma medicação específica."
25,"Estou fazendo uma lista para comparar os preços e coberturas
","Essa simulação é supondo que algum dos seus pets fique doente e precise de alguns exames e também de 1 diária internamento nos 6 primeiros meses:


Petbee (Plano padrão $59,80)
Coparticipação:
- Consulta R$0
- Internamento R$0
- Exames de sangue R$0
- Ultrassom R$0
Total em 6 meses: R$478,80

Petlove (Plano Ideal R$89,90)
Coparticipação:
- Consulta: R$30
- Exames de sangue: R$12 POR EXAME simples e R$30 por exame complexo (valor aproximado gasto em bateria de exames simples (R$100)
- Ultrassom: R$60
- Internamento: R$150
Total em 6 meses: R$879,40

Petveter (Plano Plus R$79,90)
Coparticipação:
- Consulta: R$0
- Exames de sangue: R$0
- Ultrassom: Não possui cobertura, média de valor no particular R$200.
- Internamento: Não possui cobertura, média de valor no particular R$350-450
Total em 6 meses: R$1.029,40



"
